name,JASMINE S/N,Npl_known,ra,dec,elon,elat,logL,logL_calc,M,Merr1,Merr2,Hwmag,P_in,Perr_in1,Perr_in2,P_out,Perr_out1,Perr_out2
LTT 1445 A,34.0,2.0,45.4624781,-16.5944956,37.35434,-32.25934,,-1.995,0.257,0.014,-0.014,7.226,22.962,0.055,0.055,41.109,0.098,0.098
L 98-59,32.0,5.0,124.5328604,-68.3144658,203.32553,-76.81365,-1.947,-1.802,0.312,0.014,-0.014,7.856,29.119,0.057,0.057,52.133,0.102,0.102
TOI-6251,28.0,1.0,3.9579137,13.5576175,9.06572,10.85872,-2.134,-2.059,0.2412,0.006,-0.006,8.546,21.245,0.023,0.023,38.035,0.041,0.041
TOI-540,27.0,1.0,76.3096949,-47.9375391,62.2862,-70.06301,-2.461,-2.475,0.159,0.014,-0.014,9.676,12.751,0.049,0.049,22.829,0.088,0.088
GJ 1132,27.0,2.0,153.7090696,-47.1549358,181.43393,-52.42012,-2.359,-2.346,0.181,0.019,-0.019,9.167,14.945,0.069,0.069,26.756,0.123,0.123
TOI-910,26.0,1.0,290.2379403,-82.5597883,275.05604,-59.47737,-2.064,-1.954,0.268,0.015,-0.015,8.482,24.172,0.059,0.059,43.275,0.106,0.106
GJ 357,25.0,3.0,144.0074644,-21.6650634,154.77055,-33.77741,-1.798,-1.71,0.342,0.011,-0.011,7.256,32.585,0.046,0.046,58.338,0.082,0.082
LHS 1140,24.0,2.0,11.248632,-15.2741085,4.09847,-18.45449,-2.42,-2.357,0.179,0.014,-0.014,9.544,14.743,0.05,0.05,26.395,0.09,0.09
TRAPPIST-1,24.0,7.0,346.6263919,-5.0434618,345.73298,0.62982,-3.258,-3.046,0.0898,0.007,-0.007,11.266,6.333,0.022,0.022,11.338,0.039,0.039
GJ 486,24.0,1.0,191.981531,9.7494181,187.11208,13.69483,-1.917,-1.767,0.323,0.015,-0.015,7.125,30.382,0.062,0.062,54.393,0.111,0.111
LHS 3844,23.0,1.0,340.4962038,-69.1721081,304.88165,-54.1259,-2.565,-2.527,0.151,0.014,-0.014,9.97,11.97,0.049,0.049,21.43,0.087,0.087
GJ 1214,22.0,1.0,258.8313991,4.9606795,257.38248,27.91224,-2.431,-2.488,0.157,0.0155,-0.0155,9.659,12.555,0.054,0.054,22.477,0.097,0.097
GJ 3929,21.0,2.0,239.5775678,35.4081141,225.11005,54.20886,-1.963,-1.799,0.313,0.027,-0.022,8.613,29.234,0.11,0.09,52.337,0.198,0.161
LHS 1678,17.0,3.0,68.1789866,-39.7908744,54.46078,-60.56612,-1.839,-1.701,0.345,0.014,-0.014,8.952,32.936,0.059,0.059,58.966,0.105,0.105
TOI-1468,14.0,2.0,16.6538724,19.2249195,22.74155,11.21345,-1.795,-1.699,0.34585,0.00955,-0.00945,9.268,33.035,0.04,0.04,59.144,0.071,0.071
LTT 3780,14.0,2.0,154.6449033,-11.717801,161.03995,-20.67837,-1.777,-1.602,0.381,0.016,-0.016,8.931,37.194,0.068,0.068,66.589,0.122,0.122
TOI-2267,14.0,3.0,65.061496,84.900824,85.44158,+61.860,-2.354,-1.602,0.381,0.016,-0.016,10.273,37.194,0.068,0.068,66.589,0.122,0.122
TOI-270,13.0,3.0,68.4160804,-51.9573937,43.14225,-71.89822,-1.77,-1.554,0.4,0.02,-0.02,9.023,39.479,0.086,0.086,70.68,0.155,0.155
LP 791-18,12.0,3.0,165.6904843,-16.4064445,173.5403,-20.69869,-2.668,-2.609,0.139,0.005,-0.005,11.483,10.815,0.017,0.017,19.363,0.03,0.03
K2-239,11.0,3.0,160.5941265,4.4413751,160.40247,-3.48106,-1.796,-1.554,0.4,0.01,-0.01,10.701,39.479,0.043,0.043,70.68,0.077,0.077
HD 260655,11.0,2.0,99.2915429,17.5662696,98.89343,-5.5865,-1.44,-1.461,0.439,0.011,-0.011,6.585,44.244,0.049,0.049,79.212,0.087,0.087
